what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285597596957
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285598760700
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285598761248
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599028557
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599029553
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599030626
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599031634
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599290833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599291496
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599297613
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599298246
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599372082
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599372784
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599447962
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599448692
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599673357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599674230
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599938918
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285599939952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285601155365
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285601156134
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285601165102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285601166148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285601465791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285601466892
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285601613597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285601614143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602238181
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602238834
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602282275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602285827
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602286622
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1285602304037
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1285602310369
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602587217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602590947
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602591819
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602598320
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285602599122
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285603329920
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285603330870
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285603354753
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285603355485
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285604875056
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285604876366
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285604877089
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285604877657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285605186481
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285605188078
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285605369263
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285605370823
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285606821295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285606822160
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285606831637
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285606832209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608293761
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608295146
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608448226
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608449181
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608519971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285608520649
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609435485
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609436044
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609448649
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609449481
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609587813
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609588824
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609592367
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609593248
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609733427
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285609733982
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1285610717418
